"reef_number","reef_id","latitude","long","replicate_reef","reef_name","reef_zone","reef_area_ha","reef_visibility","image_date","image_year","enterer_initials","entered_date","distance_mainland_km","number_reef_nearest_1","zone_reef_nearest_1","area_reef_nearest_1","distance_reef_nearest_1","number_reef_nearest_2","zone_reef_nearest_2","area_reef_nearest_2","reef_nearest_2","number_reef_nearest_3","zone_reef_nearest_3","area_reef_nearest_3","reef_nearest_3","patch_id","replicate_patch","patch_zone_colour","patch_zone_name","patch_perimeter_m","patch_area_m2","patch_rugosity","halo_id","halo_perimeter_m","halo_area_m2","halo_rugosity","halo_width_1","halo_width_2","halo_width_3","halo_width_4","halo_width_5","notes","old_zone","zone_broad","zone_broad_pre2003","inital_reserve_estab_year","reserve_age","image_month","image_season","imagery_used","halos_present","zone_specific","abs_latitude","log_distance_mainland_km","log10_patch_area_m2","halos_present_bin","zone_broad_adj","temp_sst","chl_log"
"10-318C","R4004",10.75,142.622887,2,"Albany Island Reef (No 3)","HPZ",53.59,"SR","11/06/05",2005,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,6,"winter",NA,NA,"fished",10.75,NA,NA,NA,"fished",300.593566894531,0.295074142275172
"10-318D","R4003",10.75,142.616842,1,"Albany Island Reef (No 4)","HPZ",123.84,"BR","2008",2008,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.75,NA,NA,NA,"fished",300.593566894531,0.295074142275172
"10-322","R0001",10.7,142.673151,1,"North Brother Reef","GUZ",11.85,"SR","16/06/08",2008,"EMPM","10/06/11",8.49,"10-323","HPZ","67.15",1.07,"10-324","HPZ",27.65,2.29,"10-327","HPZ",3712.02,2.86,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,6,"winter",NA,NA,"fished",10.7,0.977266212427293,NA,NA,"fished",300.592132568359,1.77889707359676
"10-327","R0002",10.7,142.725354,2,"South Ledge","HPZ",3712.02,"HP","6/11/05",2005,"JSM","5/04/11",11.43,"10-325","HPZ","584.39",0.51,"99-312","N/A (not in GBRMPA; count as GUZ)",61.41,0.3,"10-323","HPZ",67.15,1.67,"P000201",1,"dark blue","HPZ",182.29,1886.51,NA,"H000201",225.79,3096.19,NA,5.76,2.39,9.23,4.76,6.44,"","HPZ","fished","fished",NA,0,11,"spring","imagery used in analysis","halos","fished",10.7,1.09447112864164,3.27565911164849,1,"fished",300.5830078125,1.77889707359676
"10-327","R4604",10.7,142.738377,1,"South Ledge","HPZ",3712.02,"HP","11/06/05",2005,"AH","10/09/14",11.52,"99-312","unzoned","61.41",0.26,"10-325","unzoned",584.39,0.47,"99-304","unzoned",48.56,1.08,"P460401",1,"dark blue","HPZ",157.76,1816,NA,"H460401",202.18,3150.39,NA,9.49,6.74,6.25,4.26,8.66,"","HPZ","fished","fished",NA,0,6,"winter","imagery used in analysis","halos","fished",10.7,1.09760432887441,3.25911584418507,1,"fished",300.5830078125,1.77889707359676
"10-331","R0010",10.8,142.71154,2,"Harrington Shoal","GUZ",109.93,"NP","11/06/05",2005,"EMPM","10/06/11",14.04,"10-335","HPZ","195.81",0.76,"10-800","HPZ",229.71,1.66,"10-334","GUZ",167.56,2.48,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,6,"winter",NA,NA,"fished",10.8,1.17724783625562,NA,NA,"fished",300.564117431641,0.404303350133528
"10-336","R0011",10.8,142.746434,3,"Wyborn Reef","HPZ",1475.98,"TF","11/06/05",2005,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,6,"winter",NA,NA,"fished",10.8,NA,NA,NA,"fished",300.564117431641,0.404303350133528
"10-338","R0012",10.8,142.983168,4,"Womer Reef","HPZ",307.81,"BR","2005",2005,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.8,NA,NA,NA,"fished",300.548187255859,0.252239850758441
"10-341","R0018",10.9,142.77162,1,"Shortland Reef","HPZ",359.83,"NH","11/06/05",2005,"EMPM","10/06/11",9.05,"10-336","HPZ","1475.98",5.32,"10-340","HPZ",16.92,6.4,"10-343A","HPZ",20.89,7.32,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,6,"winter","imagery used in analysis","no halos","fished",10.9,1.00216606175651,NA,0,"fished",300.542938232422,0.911718263599333
"10-343B","R4015",10.95,142.707056,1,"Turtle Head Island Reef (No 2)","HPZ",67.23,"SR","2/11/05",2005,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,11,"spring",NA,NA,"fished",10.95,NA,NA,NA,"fished",300.545013427734,1.75004691889142
