"reef_number","reef_id","latitude","long","replicate_reef","reef_name","reef_zone","reef_area_ha","reef_visibility","image_date","image_year","enterer_initials","entered_date","distance_mainland_km","number_reef_nearest_1","zone_reef_nearest_1","area_reef_nearest_1","distance_reef_nearest_1","number_reef_nearest_2","zone_reef_nearest_2","area_reef_nearest_2","reef_nearest_2","number_reef_nearest_3","zone_reef_nearest_3","area_reef_nearest_3","reef_nearest_3","patch_id","replicate_patch","patch_zone_colour","patch_zone_name","patch_perimeter_m","patch_area_m2","patch_rugosity","halo_id","halo_perimeter_m","halo_area_m2","halo_rugosity","halo_width_1","halo_width_2","halo_width_3","halo_width_4","halo_width_5","notes","old_zone","zone_broad","zone_broad_pre2003","inital_reserve_estab_year","reserve_age","halo_width","halo_area","hw_pa","ha_pa","image_month","image_season","halo_area_excl_patch_area","log10_halo_area_excl_patch_area","log10_patch_area_m2","log10_halo_width_per_sqrt_patch_area","log10_halo_proportion_patch","log10_patch_perimeter_m","log10_halo_width","log10_hw_pa","abs_latitude","log_distance_mainland_km","zone_broad_adj","temp_sst","chl_log"
"10-327","R0002",10.7,142.725354,2,"South Ledge","HPZ",3712.02,"HP","6/11/05",2005,"JSM","5/04/11",11.43,"10-325","HPZ","584.39",0.51,"99-312","N/A (not in GBRMPA; count as GUZ)",61.41,0.3,"10-323","HPZ",67.15,1.67,"P000201",1,"dark blue","HPZ",182.29,1886.51,NA,"H000201",225.79,3096.19,NA,5.76,2.39,9.23,4.76,6.44,"","HPZ","fished","fished",NA,0,5.716,1209.68,0.00302993358105708,0.641226391590821,11,"spring",1209.68,3.08267050038735,3.27565911164849,-0.880737335705315,-0.192988611261142,2.26076284493617,0.757092220118933,-2.51856689152956,10.7,1.09447112864164,"fished",300.5830078125,1.77889707359676
"10-327","R0002",10.7,142.725354,2,"South Ledge","HPZ",3712.02,"HP","6/11/05",2005,"EMPM","5/04/11",11.43,"10-325","HPZ","584.39",0.51,"99-312","N/A (not in GBRMPA; count as GUZ)",61.41,0.3,"10-323","HPZ",67.15,1.67,"P000202",2,"dark blue","HPZ",53.26,145.01,NA,"H000202",110.15,762.38,NA,10.47,4.91,7.52,8.83,9.78,"","HPZ","fished","fished",NA,0,8.302,617.37,0.0572512240535136,4.25743052203296,11,"spring",617.37,2.79054552188886,2.1613979525458,-0.161516247230398,0.629147569343058,1.72640116210292,0.919182729042501,-1.2422152235033,10.7,1.09447112864164,"fished",300.5830078125,1.77889707359676
"10-327","R0002",10.7,142.725354,2,"South Ledge","HPZ",3712.02,"HP","6/11/05",2005,"EMPM","5/04/11",11.43,"10-325","HPZ","584.39",0.51,"99-312","N/A (not in GBRMPA; count as GUZ)",61.41,0.3,"10-323","HPZ",67.15,1.67,"P000203",3,"dark blue","HPZ",37.44,72.27,NA,"H000203",97.04,631.22,NA,11.33,8.8,9.57,9.02,9.52,"","HPZ","fished","fished",NA,0,9.648,558.95,0.133499377334994,7.73419122734191,11,"spring",558.95,2.74737296048876,1.85895805471801,0.0549582674370732,0.888414905770753,1.57333584006607,0.984437294796076,-0.874520759921929,10.7,1.09447112864164,"fished",300.5830078125,1.77889707359676
"10-327","R0002",10.7,142.725354,2,"South Ledge","HPZ",3712.02,"HP","6/11/05",2005,"EMPM","5/04/11",11.43,"10-325","HPZ","584.39",0.51,"99-312","N/A (not in GBRMPA; count as GUZ)",61.41,0.3,"10-323","HPZ",67.15,1.67,"P000204",4,"dark blue","HPZ",19.53,17.19,NA,"H000204",60.8,253.39,NA,8.09,5.65,3.08,6.53,6.46,"","HPZ","fished","fished",NA,0,5.962,236.2,0.346829552065154,13.7405468295521,11,"spring",236.2,2.3732798932775,1.23527587668705,0.157754033353086,1.13800401659044,1.29070224328785,0.775391971696612,-0.459883904990441,10.7,1.09447112864164,"fished",300.5830078125,1.77889707359676
"10-327","R0002",10.7,142.725354,2,"South Ledge","HPZ",3712.02,"HP","6/11/05",2005,"EMPM","5/04/11",11.43,"10-325","HPZ","584.39",0.51,"99-312","N/A (not in GBRMPA; count as GUZ)",61.41,0.3,"10-323","HPZ",67.15,1.67,"P000205",5,"dark blue","HPZ",66.07,279.84,NA,"H000205",175.76,2048.91,NA,18.32,16.41,14.32,12.91,13.11,"","HPZ","fished","fished",NA,0,15.014,1769.07,0.0536520869068039,6.32171955403088,11,"spring",1769.07,3.24774501776686,2.4469097921346,-0.0469584845369338,0.800835225632254,1.82000430680832,1.17649641153037,-1.27041338060423,10.7,1.09447112864164,"fished",300.5830078125,1.77889707359676
"10-327","R0002",10.7,142.725354,2,"South Ledge","HPZ",3712.02,"HP","6/11/05",2005,"EMPM","5/04/11",11.43,"10-325","HPZ","584.39",0.51,"99-312","N/A (not in GBRMPA; count as GUZ)",61.41,0.3,"10-323","HPZ",67.15,1.67,"P000206",6,"dark blue","HPZ",51.44,176.55,NA,"H000206",101.04,705.84,NA,5.92,8.99,4.72,9.94,9.12,"","HPZ","fished","fished",NA,0,7.738,529.29,0.0438289436420277,2.99796091758709,11,"spring",529.29,2.72369368884136,2.24686772189912,-0.234805135564332,0.476825966942246,1.71130095991617,0.888628725385226,-1.35823899651389,10.7,1.09447112864164,"fished",300.5830078125,1.77889707359676
"10-327","R0002",10.7,142.725354,2,"South Ledge","HPZ",3712.02,"HP","6/11/05",2005,"EMPM","5/04/11",11.43,"10-325","HPZ","584.39",0.51,"99-312","N/A (not in GBRMPA; count as GUZ)",61.41,0.3,"10-323","HPZ",67.15,1.67,"P000207",7,"dark blue","HPZ",54.48,157.26,NA,"H000207",109.16,770.56,NA,5.82,7.18,7.62,11.61,6.81,"","HPZ","fished","fished",NA,0,7.808,613.3,0.0496502607147399,3.89991097545466,11,"spring",613.3,2.78767296468749,2.19661827133024,-0.205769331006487,0.591054693357249,1.73623709890473,0.892539804658635,-1.30407846667161,10.7,1.09447112864164,"fished",300.5830078125,1.77889707359676
"10-327","R0002",10.7,142.725354,2,"South Ledge","HPZ",3712.02,"HP","6/11/05",2005,"EMPM","5/04/11",11.43,"10-325","HPZ","584.39",0.51,"99-312","N/A (not in GBRMPA; count as GUZ)",61.41,0.3,"10-323","HPZ",67.15,1.67,"P000208",8,"dark blue","HPZ",37.58,79.78,NA,"H000208",97.34,612.35,NA,5.73,7.13,9.17,5.97,6.11,"","HPZ","fished","fished",NA,0,6.822,532.57,0.0855101529205315,6.67548257708699,11,"spring",532.57,2.72637669871312,1.90189403197382,-0.117035300915532,0.824482666739294,1.57495677576451,0.833911715071378,-1.06798231690244,10.7,1.09447112864164,"fished",300.5830078125,1.77889707359676
"10-327","R0002",10.7,142.725354,2,"South Ledge","HPZ",3712.02,"HP","6/11/05",2005,"EMPM","5/04/11",11.43,"10-325","HPZ","584.39",0.51,"99-312","N/A (not in GBRMPA; count as GUZ)",61.41,0.3,"10-323","HPZ",67.15,1.67,"P000209",9,"dark blue","HPZ",13.73,10.44,NA,"H000209",27.03,44.85,NA,3.2,1.73,1.32,2.02,1.58,"","HPZ","fished","fished",NA,0,1.97,34.41,0.188697318007663,3.29597701149425,11,"spring",34.41,1.53668467262093,1.01870049866624,-0.214884023171529,0.517984173954687,1.13767053723676,0.294466226161593,-0.72423427250465,10.7,1.09447112864164,"fished",300.5830078125,1.77889707359676
"10-327","R0002",10.7,142.725354,2,"South Ledge","HPZ",3712.02,"HP","6/11/05",2005,"EMPM","5/04/11",11.43,"10-325","HPZ","584.39",0.51,"99-312","N/A (not in GBRMPA; count as GUZ)",61.41,0.3,"10-323","HPZ",67.15,1.67,"P000210",10,"dark blue","HPZ",44.59,84.33,NA,"H000210",98.26,627.62,NA,7.56,6.72,6.93,9.68,7.61,"","HPZ","fished","fished",NA,0,7.7,543.29,0.0913079568362386,6.44242855448832,11,"spring",543.29,2.73503171131977,1.9259821003271,-0.0765003249910697,0.80904961099267,1.64923747234961,0.886490725172482,-1.03949137515462,10.7,1.09447112864164,"fished",300.5830078125,1.77889707359676
